,Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog,Model_Preds,True_Gold,Model_Correct
990,2.0,-0.011450044741709749,0.03428199933036264,-0.013924527134779251,0.010392085001830084,3.0,14.0,0.0,0.07897667040204337,0.061918817620916486,0.0161466003129406,0.013729444641327386,0.019713204988150775,0.037708781624472484,0.0285680542886012,0.03912369445989933,0.029545560224763345,Under,Under,1
51,2.0,-0.02748010738010339,0.028413909354895163,0.02166037554298995,-0.02161553680380657,0.0,3.0,0.008785432015783039,0.028290150591776732,0.019358526888378486,0.02468695089168604,0.0,0.022998739152842573,0.024897262511890204,0.02227030430165717,0.026765209798154662,0.024947628663351932,Under,Under,1
233,2.0,-0.05267020581186484,0.026251981469196616,0.008273903763163,-0.011951712699410436,0.0,15.0,0.00939132387894049,0.0064831595106155035,0.019500868997851858,0.02055021858010622,0.006864722320663693,0.03942640997630156,0.02877858480461833,0.04025083687307709,0.024525186507509445,0.03485481453172008,Under,Under,1
710,2.0,-0.02748010738010339,0.024707747265126225,0.02372326845184614,-0.020784170003660167,2.0,13.0,0.006664810494731961,0.01473445343321705,0.036154895806236285,0.018415130935419858,0.037755972763650315,0.04928301247037694,0.02839991921508388,0.01600297822769354,0.03022497179843204,0.02384031181203913,Over,Over,1
435,2.0,-0.0045800178966838995,0.027178521991638848,-0.012377357453137113,0.008313668001464066,1.0,12.0,0.03786824144734069,0.03241579755307751,0.020354921654692087,0.02722236746975109,0.024026528122322924,0.029569807482226162,0.04228432416468045,0.03291867384479925,0.03544146439308528,0.029897554985445562,Under,Under,1
620,2.0,-0.009160035793367795,0.029340449877337395,0.01155220028959464,-0.010142674961786162,2.0,7.0,0.08421896897888569,0.03300517569040619,0.01508826360417735,0.01574627137956191,0.037755972763650315,0.045997478305685145,0.03685678404801997,0.039064304266841265,0.03669188835327422,0.03713544725197359,Under,Over,0
218,2.0,-0.06641025950191654,0.028105062514081083,0.008926777102076549,-0.012436667842589537,0.0,14.0,0.0,0.015618520639210072,0.007686473911562047,0.011742982045774984,0.02059416696199108,0.013142136658767184,0.013821294018007491,0.020779532565617268,0.016554692675384855,0.017695069948462136,Under,Under,1
631,3.0,-0.013740053690051695,0.025943134628382537,-0.017534589725277574,0.013301868802342506,2.0,8.0,0.023629782663140586,0.037425511720371306,0.03231165885045527,0.02201809133582809,0.006864722320663693,0.04271194414099335,0.01975372158738057,0.024126162993461927,0.022714756724659203,0.028804904582494517,Over,Over,1
367,2.0,-0.025190098431761444,0.029649296718151467,-0.02454842561538861,0.01745870280307454,1.0,7.0,0.011208999468412844,0.0,0.02120897431153232,0.04817291498323601,0.03432361160331846,0.026284273317534367,0.020889718355983924,0.02473464125307005,0.02559917027699688,0.03232485218931666,Under,Over,0
81,2.0,-0.018320071586735598,0.028413909354895163,0.017328300434391958,-0.016627336002928133,0.0,5.0,0.025750404184191663,0.010314117403251936,0.05280892261462073,0.02815646831430138,0.02059416696199108,0.01642767082345898,0.029094139462563718,0.020292749957930782,0.03706778267259482,0.01908104931864836,Under,Over,0
76,0.0,-0.018320071586735598,0.028413909354895163,0.018566036179705668,-0.01745870280307454,0.0,4.0,0.04089770076312794,0.008545982991265891,0.0435566854988516,0.02615482364740792,0.044620695084314,0.04271194414099335,0.03508967796352586,0.011500239106593452,0.03637736453506719,0.025761616547429547,Under,Under,1
661,2.0,-0.0045800178966838995,0.02686967515082477,-0.01186163422592307,0.00872935140153727,2.0,10.0,0.02029737741577461,0.027406083385783715,0.010533316101029472,0.05444473493950218,0.013729444641327386,0.029569807482226162,0.01969061065579149,0.053941597714259784,0.020052811238858208,0.046184645891178835,Under,Over,0
1252,2.0,-0.03435013422512924,0.029649296718151467,0.027952198915001315,-0.02859901792503639,4.0,15.0,0.04059475483154922,0.037425511720371306,0.028895448223094363,0.025220722802857632,0.03432361160331846,0.03285534164691796,0.01987994345055872,0.02415658690644233,0.02378106918150744,0.025732283650706032,Under,Under,1
543,3.0,-0.013740053690051695,0.025016594105940305,-0.015265407525535771,0.011472861842020413,2.0,2.0,0.018479701826302253,0.007661915785272866,0.05280892261462073,0.01681381520190509,0.03089125044298661,0.019713204988150775,0.018712391216160824,0.023304717342990968,0.0302863422995456,0.02083368989787855,Over,Over,1
289,2.0,-0.020610080535077544,0.029649296718151467,-0.022176098770204,0.015380285802708525,1.0,2.0,0.009088377947361764,0.0,0.0113873687578697,0.03896534951552608,0.0034323611603318464,0.04271194414099335,0.007289312598538196,0.03203638036836748,0.016692776302890386,0.03800810092949825,Over,Over,1
