,Favorite,Spread,Underdog,Pred_Total,Away Money Line,Home Money Line,Week,Year,True_Results,Pred_Results,Correct,PtsW,PtsL,True_total
94,Vikings,-3.5,Eagles,44.0,153.0,-182.0,6,2019,Under,Over,False,13,6,19
95,Ravens,-11.0,Bengals,47.0,429.0,-573.0,6,2019,Over,Over,True,31,24,55
96,Browns,-1.0,Seahawks,46.0,-106.0,-114.0,6,2019,Over,Over,True,38,20,58
97,Jaguars,-3.0,Saints,42.5,130.0,-155.0,6,2019,Over,Over,True,32,28,60
98,Chiefs,-3.5,Texans,54.5,165.0,-197.0,6,2019,Under,Under,True,23,17,40
99,Falcons,-3.0,Cardinals,52.0,-163.0,136.0,6,2019,Over,Over,True,34,33,67
100,Rams,-3.0,49ers,50.5,147.0,-176.0,6,2019,Under,Over,False,20,7,27
101,Broncos,-1.0,Titans,40.5,-104.0,-116.0,6,2019,Over,Under,False,24,22,46
102,Cowboys,-7.0,Jets,43.5,-349.0,275.0,6,2019,Under,Under,True,16,0,16
103,Chargers,-6.0,Steelers,42.5,239.0,-296.0,6,2019,Under,Under,True,24,17,41
104,Packers,-3.5,Lions,47.0,159.0,-194.0,6,2019,Under,Under,True,23,22,45
105,Chiefs,-3.0,Broncos,49.5,-163.0,136.0,7,2019,Under,Under,True,30,6,36
106,Vikings,-2.5,Lions,43.0,-148.0,124.0,7,2019,Over,Under,False,31,21,52
107,Packers,-5.5,Raiders,47.5,201.0,-246.0,7,2019,Under,Under,True,9,0,9
108,Colts,-1.5,Texans,47.0,107.0,-128.0,7,2019,Over,Over,True,30,23,53
109,Giants,-3.5,Cardinals,50.5,157.0,-189.0,7,2019,Over,Over,True,42,30,72
110,Rams,-3.0,Falcons,55.0,-174.0,143.0,7,2019,Over,Over,True,27,17,44
111,Bills,-17.0,Dolphins,42.0,802.0,-1336.0,7,2019,Over,Over,True,42,24,66
112,Jaguars,-4.5,Bengals,44.0,-233.0,190.0,7,2019,Under,Over,False,27,21,48
113,49ers,-10.0,Redskins,39.0,-425.0,332.0,7,2019,Under,Over,False,37,10,47
114,Titans,-3.0,Chargers,42.5,129.0,-154.0,7,2019,Over,Over,True,23,20,43
115,Seahawks,-3.0,Ravens,48.0,131.0,-158.0,7,2019,Over,Over,True,36,25,61
116,Bears,-4.0,Saints,37.0,171.0,-208.0,7,2019,Under,Over,False,30,16,46
117,Cowboys,-3.0,Eagles,50.0,139.0,-166.0,7,2019,Under,Under,True,37,10,47
118,Patriots,-9.5,Jets,43.0,-433.0,330.0,7,2019,Under,Over,False,33,0,33
119,Vikings,-16.5,Redskins,41.5,741.0,-1185.0,8,2019,Under,Under,True,19,9,28
120,Seahawks,-7.5,Falcons,50.0,-335.0,269.0,8,2019,Under,Over,False,17,16,33
121,Bills,-1.0,Eagles,39.5,-105.0,-115.0,8,2019,Under,Under,True,15,13,28
122,Bears,-3.5,Chargers,41.0,159.0,-190.0,8,2019,Over,Over,True,31,13,44
123,Lions,-6.0,Giants,49.0,227.0,-282.0,8,2019,Over,Under,False,31,26,57
124,Titans,-2.0,Buccaneers,45.0,115.0,-137.0,8,2019,Under,Under,True,27,20,47
125,Rams,-12.5,Bengals,48.0,465.0,-636.0,8,2019,Over,Over,True,27,23,50
126,Saints,-12.5,Cardinals,48.5,463.0,-633.0,8,2019,Under,Under,True,24,10,34
127,Jaguars,-7.0,Jets,40.0,262.0,-331.0,8,2019,Over,Over,True,29,15,44
128,Colts,-5.5,Broncos,42.0,198.0,-242.0,8,2019,Under,Under,True,31,9,40
129,49ers,-4.0,Panthers,40.5,172.0,-209.0,8,2019,Over,Over,True,51,13,64
130,Patriots,-9.5,Browns,43.0,317.0,-402.0,8,2019,Under,Under,True,27,13,40
131,Texans,-4.5,Raiders,52.0,193.0,-236.0,8,2019,Under,Under,True,27,24,51
132,Packers,-5.0,Chiefs,48.0,-238.0,193.0,8,2019,Over,Over,True,31,24,55
133,Steelers,-13.5,Dolphins,43.5,527.0,-747.0,8,2019,Under,Over,False,27,14,41
134,49ers,-10.5,Cardinals,43.5,-521.0,389.0,9,2019,Over,Over,True,28,25,53
135,Jaguars,-1.0,Texans,46.0,-102.0,-118.0,9,2019,Under,Over,False,26,3,29
136,Bills,-10.5,Redskins,37.0,419.0,-568.0,9,2019,Under,Over,False,22,14,36
137,Vikings,-5.5,Chiefs,46.0,-245.0,200.0,9,2019,Over,Under,False,30,20,50
138,Jets,-3.5,Dolphins,42.5,-184.0,153.0,9,2019,Over,Under,False,26,18,44
139,Eagles,-5.0,Bears,41.0,193.0,-235.0,9,2019,Over,Over,True,26,24,50
140,Steelers,-1.5,Colts,39.5,106.0,-126.0,9,2019,Under,Over,False,24,9,33
141,Panthers,-3.5,Titans,43.0,157.0,-191.0,9,2019,Over,Over,True,26,23,49
142,Raiders,-2.5,Lions,51.0,122.0,-147.0,9,2019,Over,Over,True,31,24,55
143,Seahawks,-4.0,Buccaneers,51.0,181.0,-220.0,9,2019,Over,Over,True,40,34,74
144,Browns,-4.0,Broncos,39.0,-200.0,167.0,9,2019,Over,Over,True,24,19,43
145,Packers,-4.0,Chargers,49.5,-211.0,174.0,9,2019,Under,Over,False,26,11,37
146,Patriots,-3.0,Ravens,44.0,-169.0,140.0,9,2019,Over,Over,True,37,20,57
147,Cowboys,-6.5,Giants,48.5,-321.0,254.0,9,2019,Over,Over,True,37,18,55
148,Chargers,-1.5,Raiders,49.0,-124.0,102.0,10,2019,Over,Under,False,26,24,50
149,Bears,-7.0,Lions,38.0,232.0,-290.0,10,2019,Under,Under,True,26,9,35
150,Ravens,-10.5,Bengals,44.0,-563.0,417.0,10,2019,Under,Over,False,20,13,33
151,Browns,-3.0,Bills,42.0,136.0,-164.0,10,2019,Over,Under,False,49,13,62
152,Chiefs,-6.0,Titans,48.5,-267.0,214.0,10,2019,Under,Over,False,19,16,35
153,Saints,-14.0,Falcons,51.5,571.0,-847.0,10,2019,Over,Under,False,35,32,67
154,Giants,-3.0,Jets,43.5,-154.0,128.0,10,2019,Over,Under,False,30,27,57
155,Buccaneers,-5.5,Cardinals,51.0,203.0,-247.0,10,2019,Over,Over,True,34,27,61
156,Colts,-11.0,Dolphins,44.0,422.0,-571.0,10,2019,Under,Under,True,16,12,28
157,Rams,-4.5,Steelers,43.0,-230.0,188.0,10,2019,Under,Over,False,17,12,29
158,Packers,-5.0,Panthers,49.0,198.0,-244.0,10,2019,Under,Over,False,24,16,40
159,Cowboys,-3.0,Vikings,47.5,154.0,-188.0,10,2019,Over,Over,True,28,24,52
160,49ers,-6.5,Seahawks,47.0,221.0,-272.0,10,2019,Over,Over,True,27,24,51
161,Browns,-3.0,Steelers,41.5,133.0,-160.0,11,2019,Under,Over,False,21,7,28
162,Cowboys,-7.5,Lions,46.5,-353.0,275.0,11,2019,Over,Over,True,37,20,57
163,Colts,-2.5,Jaguars,41.5,117.0,-141.0,11,2019,Under,Over,False,41,7,48
164,Bills,-7.0,Dolphins,41.5,-352.0,274.0,11,2019,Over,Under,False,35,27,62
165,Vikings,-9.5,Broncos,40.0,368.0,-492.0,11,2019,Under,Over,False,29,3,32
166,Saints,-5.0,Buccaneers,51.0,-226.0,183.0,11,2019,Over,Over,True,27,23,50
167,Redskins,-2.0,Jets,37.5,108.0,-129.0,11,2019,Over,Over,True,34,17,51
168,Panthers,-3.5,Falcons,48.5,163.0,-200.0,11,2019,Over,Under,False,34,17,51
169,Ravens,-4.5,Texans,51.0,192.0,-240.0,11,2019,Over,Over,True,33,13,46
170,49ers,-9.5,Cardinals,44.0,351.0,-470.0,11,2019,Over,Under,False,36,26,62
171,Raiders,-13.0,Bengals,48.0,484.0,-692.0,11,2019,Under,Under,True,17,10,27
172,Patriots,-4.0,Eagles,45.0,-216.0,178.0,11,2019,Under,Over,False,17,10,27
173,Rams,-5.0,Bears,40.0,193.0,-240.0,11,2019,Under,Under,True,17,7,24
174,Chiefs,-5.5,Chargers,52.0,-252.0,208.0,11,2019,Under,Over,False,24,17,41
175,Texans,-3.5,Colts,46.0,173.0,-209.0,12,2019,Under,Over,False,20,17,37
176,Falcons,-3.5,Buccaneers,51.5,152.0,-185.0,12,2019,Under,Over,False,19,14,33
177,Bills,-3.5,Broncos,37.0,169.0,-205.0,12,2019,Under,Over,False,34,3,37
178,Bears,-6.0,Giants,40.5,217.0,-273.0,12,2019,Under,Under,True,19,16,35
179,Steelers,-6.0,Bengals,37.0,-262.0,210.0,12,2019,Under,Over,False,16,10,26
180,Browns,-11.0,Dolphins,46.0,401.0,-537.0,12,2019,Under,Over,False,20,3,23
181,Saints,-9.5,Panthers,46.5,352.0,-465.0,12,2019,Under,Over,False,17,9,26
182,Raiders,-3.5,Jets,44.5,-189.0,156.0,12,2019,Over,Over,True,41,24,65
183,Lions,-4.0,Redskins,39.5,-210.0,170.0,12,2019,Over,Over,True,35,22,57
184,Seahawks,-2.0,Eagles,46.0,-128.0,105.0,12,2019,Over,Over,True,34,31,65
185,Titans,-4.5,Jaguars,42.0,188.0,-230.0,12,2019,Over,Under,False,42,20,62
186,Patriots,-5.0,Cowboys,44.5,206.0,-250.0,12,2019,Under,Under,True,13,9,22
187,49ers,-3.0,Packers,48.0,144.0,-174.0,12,2019,Under,Under,True,37,8,45
188,Ravens,-3.5,Rams,46.5,-179.0,148.0,12,2019,Over,Under,False,45,6,51
189,Bears,-5.5,Lions,37.0,-246.0,200.0,13,2019,Over,Over,True,24,20,44
190,Cowboys,-6.5,Bills,46.5,227.0,-284.0,13,2019,Under,Under,True,26,15,41
191,Saints,-7.0,Falcons,48.0,-383.0,293.0,13,2019,Under,Under,True,26,18,44
192,Jets,-2.5,Bengals,43.0,-143.0,120.0,13,2019,Over,Under,False,31,13,44
193,Titans,-1.0,Colts,41.5,-120.0,-102.0,13,2019,Over,Under,False,29,21,50
194,Eagles,-10.5,Dolphins,45.0,-524.0,391.0,13,2019,Under,Over,False,28,11,39
195,Packers,-6.5,Giants,43.5,-294.0,236.0,13,2019,Over,Over,True,31,17,48
196,Panthers,-10.5,Redskins,38.5,430.0,-592.0,13,2019,Under,Over,False,20,17,37
197,Buccaneers,-3.0,Jaguars,46.5,-158.0,131.0,13,2019,Over,Under,False,37,31,68
198,Ravens,-5.5,49ers,45.0,204.0,-250.0,13,2019,Under,Over,False,22,6,28
199,Browns,-1.0,Steelers,40.0,-122.0,101.0,13,2019,Under,Over,False,20,13,33
200,Rams,-2.0,Cardinals,47.0,-141.0,118.0,13,2019,Under,Over,False,34,7,41
201,Chargers,-4.5,Broncos,38.5,-229.0,185.0,13,2019,Under,Over,False,40,9,49
202,Chiefs,-11.0,Raiders,49.5,404.0,-550.0,13,2019,Over,Over,True,23,20,43
203,Patriots,-3.5,Texans,47.5,-185.0,151.0,13,2019,Over,Over,True,28,22,50
204,Seahawks,-3.0,Vikings,48.0,128.0,-153.0,13,2019,Over,Under,False,37,30,67
205,Cowboys,-3.0,Bears,43.0,-166.0,138.0,14,2019,Over,Over,True,31,24,55
206,Falcons,-3.5,Panthers,48.0,161.0,-195.0,14,2019,Under,Under,True,24,17,41
207,Ravens,-6.5,Bills,44.0,-282.0,225.0,14,2019,Over,Under,False,48,46,94
208,Browns,-6.5,Bengals,43.0,230.0,-284.0,14,2019,Over,Over,True,38,24,62
209,Packers,-13.5,Redskins,41.5,628.0,-931.0,14,2019,Under,Over,False,20,15,35
210,Vikings,-12.0,Lions,44.0,432.0,-597.0,14,2019,Over,Over,True,40,20,60
211,Saints,-1.0,49ers,45.0,103.0,-124.0,14,2019,Under,Under,True,20,7,27
212,Jets,-5.0,Dolphins,47.0,185.0,-226.0,14,2019,Over,Under,False,38,35,73
213,Buccaneers,-3.0,Colts,46.5,144.0,-175.0,14,2019,Under,Over,False,22,21,43
214,Texans,-8.0,Broncos,42.5,293.0,-378.0,14,2019,Over,Over,True,27,19,46
215,Chargers,-3.5,Jaguars,42.0,-185.0,151.0,14,2019,Over,Over,True,45,10,55
216,Titans,-3.0,Raiders,47.0,-160.0,132.0,14,2019,Under,Under,True,23,17,40
217,Patriots,-3.0,Chiefs,49.0,133.0,-160.0,14,2019,Over,Over,True,42,21,63
218,Steelers,-2.0,Cardinals,43.5,-135.0,112.0,14,2019,Under,Under,True,23,16,39
219,Rams,-1.5,Seahawks,47.5,100.0,-121.0,14,2019,Under,Over,False,28,12,40
220,Eagles,-9.0,Giants,45.5,340.0,-447.0,14,2019,Under,Under,True,23,17,40
221,Ravens,-17.0,Jets,44.0,767.0,-1235.0,15,2019,Over,Over,True,42,21,63
222,Patriots,-10.5,Bengals,42.0,-542.0,405.0,15,2019,Under,Over,False,21,13,34
223,Buccaneers,-6.0,Lions,46.0,-250.0,202.0,15,2019,Over,Under,False,36,20,56
224,Packers,-4.5,Bears,41.0,177.0,-219.0,15,2019,Over,Over,True,34,13,47
225,Titans,-3.5,Texans,50.0,144.0,-173.0,15,2019,Over,Under,False,30,24,54
226,Chiefs,-9.5,Broncos,43.0,355.0,-475.0,15,2019,Under,Over,False,23,3,26
227,Giants,-3.5,Dolphins,46.5,154.0,-185.0,15,2019,Over,Over,True,37,27,64
228,Eagles,-6.5,Redskins,39.0,-322.0,252.0,15,2019,Under,Under,True,24,21,45
229,Seahawks,-6.0,Panthers,48.5,-267.0,214.0,15,2019,Over,Under,False,38,17,55
230,Raiders,-6.5,Jaguars,47.0,240.0,-306.0,15,2019,Over,Over,True,38,24,62
231,Browns,-3.0,Cardinals,49.0,-162.0,135.0,15,2019,Over,Over,True,39,10,49
232,Vikings,-1.5,Chargers,45.0,-124.0,103.0,15,2019,Under,Over,False,20,16,36
233,Cowboys,0.0,Rams,48.5,-110.0,-110.0,15,2019,Over,Over,True,44,21,65
234,49ers,-10.0,Falcons,50.0,350.0,-460.0,15,2019,Over,Under,False,29,22,51
235,Steelers,-1.5,Bills,37.0,-101.0,-120.0,15,2019,Under,Over,False,17,10,27
236,Saints,-8.5,Colts,47.5,321.0,-412.0,15,2019,Under,Over,False,34,7,41
237,Texans,-3.0,Buccaneers,50.0,-158.0,132.0,16,2019,Under,Under,True,23,20,43
238,Patriots,-7.0,Bills,39.0,269.0,-339.0,16,2019,Over,Under,False,24,17,41
239,49ers,-7.0,Rams,45.5,256.0,-329.0,16,2019,Over,Over,True,34,31,65
240,Falcons,-7.5,Jaguars,48.0,271.0,-344.0,16,2019,Under,Under,True,24,12,36
241,Ravens,-10.0,Browns,48.5,-449.0,341.0,16,2019,Over,Under,False,41,35,76
242,Saints,-3.5,Titans,49.0,-182.0,151.0,16,2019,Under,Over,False,31,15,46
243,Colts,-6.5,Panthers,46.5,264.0,-337.0,16,2019,Over,Over,True,38,28,66
244,Bengals,-1.5,Dolphins,45.5,-134.0,111.0,16,2019,Over,Over,True,38,35,73
245,Steelers,-3.0,Jets,36.5,-187.0,155.0,16,2019,Under,Over,False,16,10,26
246,Giants,-1.0,Redskins,42.0,-124.0,103.0,16,2019,Under,Under,True,38,6,44
247,Broncos,-8.0,Lions,40.0,282.0,-358.0,16,2019,Under,Under,True,24,17,41
248,Chargers,-7.5,Raiders,45.0,280.0,-355.0,16,2019,Over,Under,False,27,17,44
249,Cowboys,-2.5,Eagles,46.5,-139.0,116.0,16,2019,Under,Under,True,17,9,26
250,Seahawks,-8.0,Cardinals,51.0,312.0,-399.0,16,2019,Under,Under,True,27,13,40
251,Chiefs,-7.0,Bears,45.5,-314.0,250.0,16,2019,Under,Over,False,26,3,29
252,Vikings,-4.0,Packers,47.0,167.0,-205.0,16,2019,Under,Over,False,23,10,33
